Date,Open,High,Low ,Close,Volume
17-Apr-17,1367.7,1394.25,1365,1391,321378
13-Apr-17,1352,1373,1348,1364.35,331002
12-Apr-17,1388.8,1388.8,1351.05,1354.15,578519
11-Apr-17,1386,1400.3,1371,1374.1,364279
10-Apr-17,1416,1424.7,1378,1381.05,386967
07-Apr-17,1424.1,1433.75,1402.65,1405.55,672901
06-Apr-17,1409.7,1448.5,1402.7,1438.35,1043156
05-Apr-17,1388,1417.95,1380.8,1414.9,902558
03-Apr-17,1332,1380,1332,1371.2,999005
31-Mar-17,1270,1336,1268.95,1319.2,1673684
30-Mar-17,1255,1272.8,1254.05,1269.35,438308
29-Mar-17,1250.05,1260,1234.1,1254.7,466255
28-Mar-17,1255.05,1263.35,1237,1245.65,436677
27-Mar-17,1267.55,1278.5,1247.1,1250.75,888667
24-Mar-17,1274.1,1291.65,1268.4,1286.2,676818
23-Mar-17,1266.9,1277.75,1258.25,1274.1,295325
22-Mar-17,1254.7,1266,1247.55,1259.5,265278
21-Mar-17,1285.6,1285.6,1259.7,1263.8,245384
20-Mar-17,1301,1305,1277.15,1280.35,392188764
17-Mar-17,1305,1319.85,1298.55,1300.65,281621
16-Mar-17,1311,1311,1294.6,1297.35,306215
15-Mar-17,1289.4,1316,1283.25,1304.4,389306469
14-Mar-17,1315.95,1319.1,1285.25,1289.4,596869
10-Mar-17,1293.95,1296.5,1261.5,1281.4,360490
09-Mar-17,1289.8,1298,1281.7,1287.35,397311380
08-Mar-17,1307.05,1310,1286,1291.9,793869
07-Mar-17,1316.15,1326.75,1296.6,1304.8,1137634
06-Mar-17,1268,1309.9,1265.45,1304.9,1196154
03-Mar-17,1237,1287.8,1237,1258.45,1194011
02-Mar-17,1236,1254,1225.65,1233.25,410896
01-Mar-17,1242,1244.9,1230.25,1234.15,822803
28-Feb-17,1237.8,1247.85,1228.55,1238.25,1730900
27-Feb-17,1187,1256.5,1187,1238.6,1340897
23-Feb-17,1213.9,1222.3,1179.2,1182.6,1089289
22-Feb-17,1092.05,1212,1092.05,1207.65,3331421
21-Feb-17,1072.3,1090.55,1072.3,1088.25,280191
20-Feb-17,1070,1077,1066.25,1073.7,229511
17-Feb-17,1066,1077.9,1059,1075.35,315041
16-Feb-17,1052,1067,1052,1064.95,196538
15-Feb-17,1053,1057.5,1046.05,1050.9,227916
14-Feb-17,1033.35,1052.5,1031.2,1048.25,273085
